#支付宝账务汇总查询
#账号：[20883119661717530156]
#起始日期：[2020年11月01日 00:00:00]   终止日期：[2020年12月01日 00:00:00]
#-----------------------------------------账务汇总列表----------------------------------------
类型,收入笔数,收入金额（+元）,支出笔数,支出金额（-元）,总金额（元）
其它,36,1028.82,4227,-9455.56,-8426.74
分账,14,160.45,5335,-106254.26,-106093.81
在线支付,494,73324.77,0,0.00,73324.77
提现,0,0.00,3,-1050000.00,-1050000.00
收费,46,84.87,2490,-10253.79,-10168.92
转账,5988,1466977.86,7417,-105143.02,1361834.84
退款,0,0.00,552,-41507.83,-41507.83
合计	,6578	,1541576.77	,20024	,-1322614.46	,218962.31	
#----------------------------------------账务汇总列表结束-------------------------------------
#导出时间：[2020年12月03日 01:17:59]
