#支付宝账务明细查询
#账号：[20883119661717530156]
#起始日期：[2020年09月01日 00:00:00]   终止日期：[2020年10月01日 00:00:00]
#-----------------------------------------账务明细列表----------------------------------------
账务流水号,业务流水号,商户订单号,商品名称,发生时间,对方账号,收入金额（+元）,支出金额（-元）,账户余额（元）,交易渠道,业务类型,备注,业务描述,业务账单来源,业务基础订单号,业务订单号
322777720504411	,2020082522001194410582224014	,T200P1205574949088048555	,【甜蜜价】Fossil春季新品黑色表盘钢表带石英腕表男士手表FS5576,2020-09-01 00:34:50,**峰(498***@qq.com)	,495.00,0.00,191024.73,支付宝,交易付款,花呗交易号[2020082522001194410582224014],0010001|交易收款-交易收款,商家中心,1205574949088048555	,M{1205574949088048555}
322775036435410	,2020082522001194410582224014	,T200P1205574949088048555	,【甜蜜价】Fossil春季新品黑色表盘钢表带石英腕表男士手表FS5576,2020-09-01 00:34:51,支付宝（中国）网络技术有限公司(sys***@alipay.com)	,0.00,-3.96,191020.77,支付宝,收费,花呗支付服务费[2020082522001194410582224014];淘宝交易号[T200P1205574949088048555],0030038|软件服务费-支付宝服务费,蚂蚁商家中心,1205574949088048555	,M{1205574949088048555}
323910269151750	,BO2020090143926176750205	,CAE_POINT_1205574949088048555_2_0	,,2020-09-01 00:34:51,浙江天猫技术有限公司(jif***@taobao.com)	,0.00,-2.47,191018.30,支付宝,转账,代扣返点积分1205574949088048555,0030001|软件服务费-天猫返点积分,账房,1205574949088048555	,M{1205574949088048555}
323910717411750	,BO2020090143816647750205	,HJCOM==3200060031==2828292474170975==1205574949088048555	,,2020-09-01 00:34:52,浙江天猫技术有限公司(pin***@taobao.com)	,0.00,-24.75,190993.55,支付宝,转账,天猫佣金（类目）{1205574949088048555}扣款,0030003|软件服务费-天猫佣金,账房,1205574949088048555	,M{1205574949088048555}|S{1205574949088048555}
322778335273410	,2020082522001194410582224014	,T200P1205574949088048555	,【甜蜜价】Fossil春季新品黑色表盘钢表带石英腕表男士手表FS5576,2020-09-01 00:35:02,杭州阿里妈妈软件服务有限公司(n-t***@service.taobao.com)	,0.00,-52.47,190941.08,支付宝,交易分账,淘宝客佣金代扣款[1205574949088048555],0060011|营销支出-淘宝客佣金,联盟商家中心,1205574949088048555	,M{1205574949088048555}|S{1205574949088048555}
322778506191410	,2020082522001194410582224014	,T200P1205574949088048555	,【甜蜜价】Fossil春季新品黑色表盘钢表带石英腕表男士手表FS5576,2020-09-01 00:35:03,*********会(gon***@onefoundation.cn)	,0.00,-0.02,190941.06,支付宝,交易分账,公益宝贝捐赠=壹乐园计划=fossil官方旗舰店,0110001|公益性捐赠支出-公益宝贝,账房,1205574949088048555	,M{1205574949088048555}|S{1205574949088048555}
322776967875410	,2020082522001194410582224014	,T200P1205574949088048555	,【甜蜜价】Fossil春季新品黑色表盘钢表带石英腕表男士手表FS5576,2020-09-01 00:35:04,浙江天猫技术有限公司(ju.***@service.taobao.com)	,0.00,-24.75,190916.31,支付宝,交易分账,聚划算佣金(1205574949088048555)扣款,0030007|软件服务费-聚划算,账房,1205574949088048555	,M{1205574949088048555}|S{1205574949088048555}
323705075053441	,2020082522001169440599455950	,T200P1200625644174980898	,【甜蜜价】Fossil欧美玫瑰金钢表带石英手表手链女礼盒套装手表女BQ3349SET,2020-09-01 02:51:00,*欣(576***@qq.com)	,559.00,0.00,191475.31,支付宝,交易付款,【甜蜜价】Fossil欧美玫瑰金钢表带石英手表手链女礼盒套装手表女BQ3349SET,0010001|交易收款-交易收款,商家中心,1200625644174980898	,M{1200625644174980898}
323911966838750	,BO2020090143776370750205	,CAE_POINT_1200625644174980898_2_0	,,2020-09-01 02:51:01,浙江天猫技术有限公司(jif***@taobao.com)	,0.00,-2.79,191472.52,支付宝,转账,代扣返点积分1200625644174980898,0030001|软件服务费-天猫返点积分,账房,1200625644174980898	,M{1200625644174980898}
323913518927750	,BO2020090143944823750205	,HJCOM==3200060031==2828316969590975==1200625644174980898	,,2020-09-01 02:51:01,浙江天猫技术有限公司(pin***@taobao.com)	,0.00,-27.95,191444.57,支付宝,转账,天猫佣金（类目）{1200625644174980898}扣款,0030003|软件服务费-天猫佣金,账房,1200625644174980898	,M{1200625644174980898}|S{1200625644174980898}
323706305394440	,2020082522001169440599455950	,T200P1200625644174980898	,【甜蜜价】Fossil欧美玫瑰金钢表带石英手表手链女礼盒套装手表女BQ3349SET,2020-09-01 02:51:13,杭州阿里妈妈软件服务有限公司(n-p***@service.taobao.com)	,0.00,-33.54,191411.03,支付宝,交易分账,淘宝客佣金代扣款[1200625644174980898],0060011|营销支出-淘宝客佣金,联盟商家中心,1200625644174980898	,M{1200625644174980898}|S{1200625644174980898}
323705016432440	,2020082522001169440599455950	,T200P1200625644174980898	,【甜蜜价】Fossil欧美玫瑰金钢表带石英手表手链女礼盒套装手表女BQ3349SET,2020-09-01 02:51:13,*********会(gon***@onefoundation.cn)	,0.00,-0.02,191411.01,支付宝,交易分账,公益宝贝捐赠=壹乐园计划=fossil官方旗舰店,0110001|公益性捐赠支出-公益宝贝,账房,1200625644174980898	,M{1200625644174980898}|S{1200625644174980898}
323705360007440	,2020082522001169440599455950	,T200P1200625644174980898	,【甜蜜价】Fossil欧美玫瑰金钢表带石英手表手链女礼盒套装手表女BQ3349SET,2020-09-01 02:51:14,浙江天猫技术有限公司(ju.***@service.taobao.com)	,0.00,-27.95,191383.06,支付宝,交易分账,聚划算佣金(1200625644174980898)扣款,0030007|软件服务费-聚划算,账房,1200625644174980898	,M{1200625644174980898}|S{1200625644174980898}
325150103540801	,2020082322001150800519010799	,T200P1194376192052722529	,【甜蜜价】Fossil化石 2020年新款正品潮流个性吻ins风学生防水手表女LE1095,2020-09-01 06:15:20,*敏(189****62)	,385.00,0.00,191768.06,支付宝,在线支付,花呗分期交易号[2020082322001150800519010799],0010001|交易收款-交易收款,商家中心,1194376192052722529	,M{1194376192052722529}
323913505120750	,BO2020090143788270750205	,CAE_POINT_1194376192052722529_2_0	,,2020-09-01 06:15:21,浙江天猫技术有限公司(jif***@taobao.com)	,0.00,-1.92,191766.14,支付宝,转账,代扣返点积分1194376192052722529,0030001|软件服务费-天猫返点积分,账房,1194376192052722529	,M{1194376192052722529}
323913858752750	,BO2020090143868118750205	,HJCOM==3200060031==2828353502450975==1194376192052722529	,,2020-09-01 06:15:21,浙江天猫技术有限公司(pin***@taobao.com)	,0.00,-19.25,191746.89,支付宝,转账,天猫佣金（类目）{1194376192052722529}扣款,0030003|软件服务费-天猫佣金,账房,1194376192052722529	,M{1194376192052722529}|S{1194376192052722529}
325147607148800	,2020082322001150800519010799	,T200P1194376192052722529	,【甜蜜价】Fossil化石 2020年新款正品潮流个性吻ins风学生防水手表女LE1095,2020-09-01 06:15:31,浙江天猫技术有限公司(ju.***@service.taobao.com)	,0.00,-19.25,191727.64,支付宝,交易分账,聚划算佣金(1194376192052722529)扣款,0030007|软件服务费-聚划算,账房,1194376192052722529	,M{1194376192052722529}|S{1194376192052722529}
323914321177751	,2020082122001188751416185857	,T200P1192026594658066768	,【甜蜜价】Fossil化石手表女简约气质 学生手镯式钢表带防水石英女表BQ3025,2020-09-01 06:52:11,**景(221***@qq.com)	,349.00,0.00,192076.64,支付宝,交易付款,,0010001|交易收款-交易收款,商家中心,1192026594658066768	,M{1192026594658066768}
323913377529750	,BO2020090144058802750205	,CAE_POINT_1192026594658066768_2_0	,,2020-09-01 06:52:12,浙江天猫技术有限公司(jif***@taobao.com)	,0.00,-1.74,192074.90,支付宝,转账,代扣返点积分1192026594658066768,0030001|软件服务费-天猫返点积分,账房,1192026594658066768	,M{1192026594658066768}
