#支付宝账务汇总查询
#账号：[20883119661717530156]
#起始日期：[2020年10月01日 00:00:00]   终止日期：[2020年11月01日 00:00:00]
#-----------------------------------------账务汇总列表----------------------------------------
类型,收入笔数,收入金额（+元）,支出笔数,支出金额（-元）,总金额（元）
其它,27,22.40,933,-101689.70,-101667.30
分账,0,0.00,1520,-27332.70,-27332.70
在线支付,96,50244.77,0,0.00,50244.77
提现,0,0.00,3,-400000.00,-400000.00
收费,15,79.34,596,-3815.80,-3736.46
转账,1672,485749.54,2185,-52508.02,433241.52
退款,0,0.00,188,-13448.61,-13448.61
合计	,1810	,536096.05	,5425	,-598794.83	,-62698.78	
#----------------------------------------账务汇总列表结束-------------------------------------
#导出时间：[2020年11月03日 16:05:18]
